period,ward,category,budgeted_amount,actual_spend,notes
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.3,
2024-01,Ward 1 – Kasba,Drainage & Flooding,8.6,7.3,
2024-01,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,
2024-01,Ward 1 – Kasba,Waste Management,5.9,5.3,
2024-01,Ward 1 – Kasba,Parks & Greening,2.3,2.4,
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.2,
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.9,
2024-01,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,
2024-01,Ward 2 – Shivajinagar,Waste Management,6.4,6.1,
2024-01,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.6,
2024-01,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,10.6,
2024-01,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.0,
2024-01,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.4,
2024-01,Ward 3 – Kothrud,Waste Management,5.1,4.6,
2024-01,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.2,
2024-01,Ward 4 – Warje,Drainage & Flooding,6.7,6.1,
2024-01,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,
2024-01,Ward 4 – Warje,Waste Management,4.4,4.7,
2024-01,Ward 4 – Warje,Parks & Greening,1.6,1.3,
2024-01,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,15.3,
2024-01,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.0,
2024-01,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,
2024-01,Ward 5 – Hadapsar,Waste Management,6.1,5.4,
2024-01,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.2,
2024-02,Ward 1 – Kasba,Drainage & Flooding,8.6,7.4,
2024-02,Ward 1 – Kasba,Streetlight Maintenance,3.3,2.8,
2024-02,Ward 1 – Kasba,Waste Management,5.9,6.4,
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,2.3,
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.8,
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,
2024-02,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.4,
2024-02,Ward 2 – Shivajinagar,Waste Management,6.4,7.1,
2024-02,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.8,
2024-02,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.7,
2024-02,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.8,
2024-02,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.0,
2024-02,Ward 3 – Kothrud,Waste Management,5.1,5.6,
2024-02,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.7,
2024-02,Ward 4 – Warje,Drainage & Flooding,6.7,5.7,
2024-02,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,
2024-02,Ward 4 – Warje,Waste Management,4.4,4.1,
2024-02,Ward 4 – Warje,Parks & Greening,1.6,1.4,
2024-02,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.9,
2024-02,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.2,
2024-02,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,
2024-02,Ward 5 – Hadapsar,Waste Management,6.1,6.2,
2024-02,Ward 5 – Hadapsar,Parks & Greening,2.5,2.4,
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.3,
2024-03,Ward 1 – Kasba,Drainage & Flooding,8.6,7.7,
2024-03,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,
2024-03,Ward 1 – Kasba,Waste Management,5.9,6.5,
2024-03,Ward 1 – Kasba,Parks & Greening,2.3,2.4,
2024-03,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,15.9,
2024-03,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,,Data not submitted by ward office
2024-03,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.9,
2024-03,Ward 2 – Shivajinagar,Waste Management,6.4,6.7,
2024-03,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.7,
2024-03,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.1,
2024-03,Ward 3 – Kothrud,Drainage & Flooding,8.2,9.2,
2024-03,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.1,
2024-03,Ward 3 – Kothrud,Waste Management,5.1,5.1,
2024-03,Ward 3 – Kothrud,Parks & Greening,3.3,3.4,
2024-03,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.1,
2024-03,Ward 4 – Warje,Drainage & Flooding,6.7,7.1,
2024-03,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,
2024-03,Ward 4 – Warje,Waste Management,4.4,3.7,
2024-03,Ward 4 – Warje,Parks & Greening,1.6,1.5,
2024-03,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,13.1,
2024-03,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.5,
2024-03,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,4.1,
2024-03,Ward 5 – Hadapsar,Waste Management,6.1,6.6,
2024-03,Ward 5 – Hadapsar,Parks & Greening,2.5,2.3,
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.4,
2024-04,Ward 1 – Kasba,Drainage & Flooding,8.6,8.2,
2024-04,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.6,
2024-04,Ward 1 – Kasba,Waste Management,5.9,5.7,
2024-04,Ward 1 – Kasba,Parks & Greening,2.3,2.1,
2024-04,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.3,
2024-04,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.0,
2024-04,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.0,
2024-04,Ward 2 – Shivajinagar,Waste Management,6.4,6.4,
2024-04,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.1,
2024-04,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.2,
2024-04,Ward 3 – Kothrud,Drainage & Flooding,8.2,7.4,
2024-04,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.5,
2024-04,Ward 3 – Kothrud,Waste Management,5.1,5.1,
2024-04,Ward 3 – Kothrud,Parks & Greening,3.3,2.8,
2024-04,Ward 4 – Warje,Roads & Pothole Repair,10.3,8.8,
2024-04,Ward 4 – Warje,Drainage & Flooding,6.7,5.8,
2024-04,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,
2024-04,Ward 4 – Warje,Waste Management,4.4,4.7,
2024-04,Ward 4 – Warje,Parks & Greening,1.6,1.5,
2024-04,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.2,
2024-04,Ward 5 – Hadapsar,Drainage & Flooding,10.6,10.0,
2024-04,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,4.1,
2024-04,Ward 5 – Hadapsar,Waste Management,6.1,6.0,
2024-04,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.1,
2024-05,Ward 1 – Kasba,Drainage & Flooding,8.6,7.2,
2024-05,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.4,
2024-05,Ward 1 – Kasba,Waste Management,5.9,6.1,
2024-05,Ward 1 – Kasba,Parks & Greening,2.3,2.3,
2024-05,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.4,
2024-05,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.2,
2024-05,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,
2024-05,Ward 2 – Shivajinagar,Waste Management,6.4,6.2,
2024-05,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.8,
2024-05,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,13.1,
2024-05,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.9,
2024-05,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.6,
2024-05,Ward 3 – Kothrud,Waste Management,5.1,5.0,
2024-05,Ward 3 – Kothrud,Parks & Greening,3.3,2.9,
2024-05,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.3,
2024-05,Ward 4 – Warje,Drainage & Flooding,6.7,7.3,
2024-05,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,
2024-05,Ward 4 – Warje,Waste Management,4.4,4.5,
2024-05,Ward 4 – Warje,Parks & Greening,1.6,1.6,
2024-05,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.6,
2024-05,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.2,
2024-05,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,,Equipment procurement delay
2024-05,Ward 5 – Hadapsar,Waste Management,6.1,6.0,
2024-05,Ward 5 – Hadapsar,Parks & Greening,2.5,2.7,
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.8,
2024-06,Ward 1 – Kasba,Drainage & Flooding,8.6,8.3,
2024-06,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.5,
2024-06,Ward 1 – Kasba,Waste Management,5.9,5.7,
2024-06,Ward 1 – Kasba,Parks & Greening,2.3,2.9,
2024-06,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,19.7,
2024-06,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.3,
2024-06,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.7,
2024-06,Ward 2 – Shivajinagar,Waste Management,6.4,6.3,
2024-06,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.4,
2024-06,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,15.0,
2024-06,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.1,
2024-06,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.5,
2024-06,Ward 3 – Kothrud,Waste Management,5.1,5.1,
2024-06,Ward 3 – Kothrud,Parks & Greening,3.3,4.0,
2024-06,Ward 4 – Warje,Roads & Pothole Repair,10.3,12.5,
2024-06,Ward 4 – Warje,Drainage & Flooding,6.7,6.8,
2024-06,Ward 4 – Warje,Streetlight Maintenance,3.0,3.4,
2024-06,Ward 4 – Warje,Waste Management,4.4,5.0,
2024-06,Ward 4 – Warje,Parks & Greening,1.6,1.7,
2024-06,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,17.9,
2024-06,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.7,
2024-06,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.8,
2024-06,Ward 5 – Hadapsar,Waste Management,6.1,6.9,
2024-06,Ward 5 – Hadapsar,Parks & Greening,2.5,3.0,
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,13.0,19.7,
2024-07,Ward 1 – Kasba,Drainage & Flooding,8.6,13.0,
2024-07,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.5,
2024-07,Ward 1 – Kasba,Waste Management,5.9,7.6,
2024-07,Ward 1 – Kasba,Parks & Greening,2.3,3.1,
2024-07,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,23.4,
2024-07,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.6,
2024-07,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,6.0,
2024-07,Ward 2 – Shivajinagar,Waste Management,6.4,7.8,
2024-07,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.3,
2024-07,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,19.0,
2024-07,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.0,
2024-07,Ward 3 – Kothrud,Streetlight Maintenance,4.0,5.9,
2024-07,Ward 3 – Kothrud,Waste Management,5.1,7.5,
2024-07,Ward 3 – Kothrud,Parks & Greening,3.3,3.8,
2024-07,Ward 4 – Warje,Roads & Pothole Repair,10.3,,Audit freeze — figures under review
2024-07,Ward 4 – Warje,Drainage & Flooding,6.7,8.2,
2024-07,Ward 4 – Warje,Streetlight Maintenance,3.0,4.2,
2024-07,Ward 4 – Warje,Waste Management,4.4,5.4,
2024-07,Ward 4 – Warje,Parks & Greening,1.6,1.9,
2024-07,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,22.8,
2024-07,Ward 5 – Hadapsar,Drainage & Flooding,10.6,13.9,
2024-07,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.3,
2024-07,Ward 5 – Hadapsar,Waste Management,6.1,8.8,
2024-07,Ward 5 – Hadapsar,Parks & Greening,2.5,3.0,
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.2,
2024-08,Ward 1 – Kasba,Drainage & Flooding,8.6,11.1,
2024-08,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.3,
2024-08,Ward 1 – Kasba,Waste Management,5.9,8.3,
2024-08,Ward 1 – Kasba,Parks & Greening,2.3,3.2,
2024-08,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,22.8,
2024-08,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.8,
2024-08,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,5.6,
2024-08,Ward 2 – Shivajinagar,Waste Management,6.4,9.4,
2024-08,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.3,
2024-08,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,18.3,
2024-08,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.6,
2024-08,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.9,
2024-08,Ward 3 – Kothrud,Waste Management,5.1,6.3,
2024-08,Ward 3 – Kothrud,Parks & Greening,3.3,,Project suspended — pending approval
2024-08,Ward 4 – Warje,Roads & Pothole Repair,10.3,16.0,
2024-08,Ward 4 – Warje,Drainage & Flooding,6.7,9.8,
2024-08,Ward 4 – Warje,Streetlight Maintenance,3.0,4.1,
2024-08,Ward 4 – Warje,Waste Management,4.4,5.1,
2024-08,Ward 4 – Warje,Parks & Greening,1.6,2.4,
2024-08,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,24.6,
2024-08,Ward 5 – Hadapsar,Drainage & Flooding,10.6,15.8,
2024-08,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.4,
2024-08,Ward 5 – Hadapsar,Waste Management,6.1,7.3,
2024-08,Ward 5 – Hadapsar,Parks & Greening,2.5,3.3,
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.1,
2024-09,Ward 1 – Kasba,Drainage & Flooding,8.6,9.9,
2024-09,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.2,
2024-09,Ward 1 – Kasba,Waste Management,5.9,8.9,
2024-09,Ward 1 – Kasba,Parks & Greening,2.3,2.8,
2024-09,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,24.6,
2024-09,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.9,
2024-09,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,6.6,
2024-09,Ward 2 – Shivajinagar,Waste Management,6.4,9.7,
2024-09,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.5,
2024-09,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,17.2,
2024-09,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.2,
2024-09,Ward 3 – Kothrud,Streetlight Maintenance,4.0,6.0,
2024-09,Ward 3 – Kothrud,Waste Management,5.1,7.0,
2024-09,Ward 3 – Kothrud,Parks & Greening,3.3,4.4,
2024-09,Ward 4 – Warje,Roads & Pothole Repair,10.3,14.7,
2024-09,Ward 4 – Warje,Drainage & Flooding,6.7,9.1,
2024-09,Ward 4 – Warje,Streetlight Maintenance,3.0,4.0,
2024-09,Ward 4 – Warje,Waste Management,4.4,6.4,
2024-09,Ward 4 – Warje,Parks & Greening,1.6,1.9,
2024-09,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,20.6,
2024-09,Ward 5 – Hadapsar,Drainage & Flooding,10.6,12.8,
2024-09,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.0,
2024-09,Ward 5 – Hadapsar,Waste Management,6.1,8.5,
2024-09,Ward 5 – Hadapsar,Parks & Greening,2.5,3.1,
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.1,
2024-10,Ward 1 – Kasba,Drainage & Flooding,8.6,10.8,
2024-10,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.4,
2024-10,Ward 1 – Kasba,Waste Management,5.9,6.8,
2024-10,Ward 1 – Kasba,Parks & Greening,2.3,2.7,
2024-10,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,17.3,
2024-10,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,11.5,
2024-10,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,5.0,
2024-10,Ward 2 – Shivajinagar,Waste Management,6.4,8.1,
2024-10,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.9,
2024-10,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,14.1,
2024-10,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.5,
2024-10,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.4,
2024-10,Ward 3 – Kothrud,Waste Management,5.1,6.1,
2024-10,Ward 3 – Kothrud,Parks & Greening,3.3,3.5,
2024-10,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.0,
2024-10,Ward 4 – Warje,Drainage & Flooding,6.7,8.1,
2024-10,Ward 4 – Warje,Streetlight Maintenance,3.0,3.0,
2024-10,Ward 4 – Warje,Waste Management,4.4,4.9,
2024-10,Ward 4 – Warje,Parks & Greening,1.6,2.0,
2024-10,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,18.4,
2024-10,Ward 5 – Hadapsar,Drainage & Flooding,10.6,10.5,
2024-10,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.8,
2024-10,Ward 5 – Hadapsar,Waste Management,6.1,6.4,
2024-10,Ward 5 – Hadapsar,Parks & Greening,2.5,3.2,
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.2,
2024-11,Ward 1 – Kasba,Drainage & Flooding,8.6,9.4,
2024-11,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.1,
2024-11,Ward 1 – Kasba,Waste Management,5.9,,Contractor change — billing delayed
2024-11,Ward 1 – Kasba,Parks & Greening,2.3,2.0,
2024-11,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,17.0,
2024-11,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,
2024-11,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.5,
2024-11,Ward 2 – Shivajinagar,Waste Management,6.4,7.2,
2024-11,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.9,
2024-11,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,9.9,
2024-11,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.8,
2024-11,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.7,
2024-11,Ward 3 – Kothrud,Waste Management,5.1,5.3,
2024-11,Ward 3 – Kothrud,Parks & Greening,3.3,3.6,
2024-11,Ward 4 – Warje,Roads & Pothole Repair,10.3,9.0,
2024-11,Ward 4 – Warje,Drainage & Flooding,6.7,5.9,
2024-11,Ward 4 – Warje,Streetlight Maintenance,3.0,2.6,
2024-11,Ward 4 – Warje,Waste Management,4.4,4.4,
2024-11,Ward 4 – Warje,Parks & Greening,1.6,1.4,
2024-11,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,14.4,
2024-11,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.1,
2024-11,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.3,
2024-11,Ward 5 – Hadapsar,Waste Management,6.1,6.2,
2024-11,Ward 5 – Hadapsar,Parks & Greening,2.5,2.3,
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.7,
2024-12,Ward 1 – Kasba,Drainage & Flooding,8.6,9.4,
2024-12,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.5,
2024-12,Ward 1 – Kasba,Waste Management,5.9,5.1,
2024-12,Ward 1 – Kasba,Parks & Greening,2.3,2.2,
2024-12,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.4,
2024-12,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,8.4,
2024-12,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.7,
2024-12,Ward 2 – Shivajinagar,Waste Management,6.4,6.5,
2024-12,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.7,
2024-12,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,12.3,
2024-12,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.2,
2024-12,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.8,
2024-12,Ward 3 – Kothrud,Waste Management,5.1,4.3,
2024-12,Ward 3 – Kothrud,Parks & Greening,3.3,2.8,
2024-12,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.2,
2024-12,Ward 4 – Warje,Drainage & Flooding,6.7,7.4,
2024-12,Ward 4 – Warje,Streetlight Maintenance,3.0,3.0,
2024-12,Ward 4 – Warje,Waste Management,4.4,4.7,
2024-12,Ward 4 – Warje,Parks & Greening,1.6,1.6,
2024-12,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.6,
2024-12,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.3,
2024-12,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,
2024-12,Ward 5 – Hadapsar,Waste Management,6.1,6.7,
2024-12,Ward 5 – Hadapsar,Parks & Greening,2.5,2.7,
